,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
152,san ignacio,17.16,-89.07,89.6,59,20,2.26,BZ,1605386983
153,mount isa,-20.73,139.5,77.0,73,14,10.07,AU,1605386792
154,east london,-33.02,27.91,66.36,78,100,8.08,ZA,1605386776
155,bukama,-9.2,25.85,70.97,93,100,2.51,CD,1605386983
156,zhigansk,66.77,123.37,-0.62,93,94,6.82,RU,1605386983
157,aksu,41.12,80.26,35.87,64,87,4.12,CN,1605386765
158,touros,-5.2,-35.46,80.6,78,40,12.75,BR,1605386731
159,milledgeville,33.08,-83.23,72.86,53,1,2.01,US,1605386706
160,lydenburg,-25.1,30.46,60.15,45,10,3.0,ZA,1605386984
161,mayumba,-3.43,10.66,78.12,90,88,4.97,GA,1605386727
162,gat,31.61,34.76,65.98,76,3,4.18,IL,1605386700
163,san patricio,28.02,-97.52,84.52,55,75,20.8,US,1605386984
164,kahului,20.89,-156.47,79.23,51,40,14.99,US,1605386984
165,camalote,15.33,-88.33,81.5,78,31,2.04,HN,1605386984
166,cockburn town,21.46,-71.14,82.4,65,40,16.11,TC,1605386764
167,mahbubnagar,16.73,77.98,68.59,85,0,5.99,IN,1605386984
168,airai,-8.93,125.41,61.86,82,3,1.43,TL,1605386985
169,togur,58.36,82.83,19.6,97,100,3.47,RU,1605386985
170,cape town,-33.93,18.42,60.75,72,20,9.17,ZA,1605386736
171,liepaja,56.54,21.04,42.8,87,99,8.05,LV,1605386985
172,dalby,-27.18,151.27,60.8,59,0,4.7,AU,1605386985
173,sovetskiy,61.36,63.58,10.96,89,0,2.44,RU,1605386986
174,weligama,5.97,80.42,76.71,89,63,4.76,LK,1605386792
175,luderitz,-26.65,15.16,60.3,74,0,17.81,NA,1605386772
176,rawson,-43.3,-65.1,57.27,50,14,16.31,AR,1605386986
177,avera,33.19,-82.53,72.0,46,1,4.7,US,1605386986
178,grindavik,63.84,-22.43,32.0,86,0,4.7,IS,1605386687
179,tura,25.52,90.22,65.59,83,0,3.96,IN,1605386728
180,chapais,49.78,-74.85,23.0,73,90,11.41,CA,1605386987
181,cassilandia,-19.11,-51.73,84.24,54,94,6.08,BR,1605386987
182,belaya gora,68.53,146.42,-24.14,84,0,3.47,RU,1605386987
183,kodiak,57.79,-152.41,35.6,51,1,5.82,US,1605386987
184,sorong,-0.88,131.25,77.97,86,100,3.76,ID,1605386987
185,qasigiannguit,68.82,-51.19,6.8,50,75,21.92,GL,1605386988
186,dunedin,-45.87,170.5,62.91,62,100,2.93,NZ,1605386988
187,tondano,1.3,124.91,75.2,88,40,0.63,ID,1605386988
188,balaghat,21.8,80.18,69.75,72,30,2.98,IN,1605386888
189,itarema,-2.92,-39.92,81.9,75,55,17.2,BR,1605386988
190,carnarvon,-24.87,113.63,66.2,72,40,10.29,AU,1605386989
191,takapau,-40.03,176.35,62.76,80,0,8.01,NZ,1605386989
192,mancio lima,-7.61,-72.9,78.8,94,75,3.36,BR,1605386989
193,chimbote,-9.09,-78.58,68.18,70,32,11.16,PE,1605386989
194,amuntai,-2.42,115.25,74.17,96,100,0.94,ID,1605386989
195,bairiki,1.33,172.98,82.4,69,20,6.93,KI,1605386989
196,soma,39.19,27.61,54.21,81,75,4.7,TR,1605386989
197,turku,60.45,22.27,43.05,81,90,9.17,FI,1605386989
198,tuatapere,-46.13,167.68,63.0,69,100,5.99,NZ,1605386990
199,cabo san lucas,22.89,-109.91,78.62,47,40,2.24,MX,1605386950
200,lagoa,39.05,-27.98,66.38,93,100,17.69,PT,1605386990
201,pallasovka,50.05,46.88,29.77,91,100,10.96,RU,1605386990
202,loandjili,-4.76,11.86,78.06,89,100,4.76,CG,1605386990
203,pratapgarh,24.03,74.78,70.59,43,4,4.45,IN,1605386990
204,avarua,-21.21,-159.78,78.8,74,44,6.93,CK,1605386881
205,watertown,42.37,-71.18,45.66,49,40,14.99,US,1605386922
206,surt,31.21,16.59,67.21,63,24,4.09,LY,1605386991
207,manaquiri,-3.32,-60.35,90.5,66,40,3.36,BR,1605386991
208,praia da vitoria,38.73,-27.07,67.57,88,40,6.33,PT,1605386991
209,progreso,21.28,-89.67,84.2,70,75,9.17,MX,1605386991
210,russell,32.35,-85.2,75.88,24,1,3.49,US,1605386794
211,teya,60.38,92.63,8.33,93,69,2.1,RU,1605386991
212,methala,10.22,76.22,78.8,94,20,3.65,IN,1605386992
213,abu kamal,34.45,40.92,62.85,31,30,5.88,SY,1605386992
214,sabang,5.89,95.32,82.13,78,22,7.34,ID,1605386992
215,ilheus,-14.79,-39.05,82.4,78,20,9.17,BR,1605386992
216,tankhoy,51.55,105.13,24.6,90,6,4.29,RU,1605386992
217,soyo,-6.13,12.37,78.26,87,100,7.05,AO,1605386992
218,brewster,41.4,-73.62,46.49,39,1,11.41,US,1605386992
219,ardabil,38.25,48.29,38.7,83,78,2.13,IR,1605386829
220,khatanga,71.97,102.5,2.91,93,100,19.95,RU,1605386993
221,kaputa,-8.47,29.66,71.76,81,100,3.87,ZM,1605386993
222,kalaiya,27.03,85.0,65.14,56,0,3.2,NP,1605386993
223,ostrovnoy,68.05,39.51,33.84,91,63,19.08,RU,1605386993
224,matehuala,23.65,-100.65,81.99,20,0,3.11,MX,1605386993
225,katherine,-14.47,132.27,71.6,94,90,6.93,AU,1605386993
226,sibu,2.3,111.82,75.07,100,40,4.7,MY,1605386994
227,coquimbo,-29.95,-71.34,62.6,63,20,13.87,CL,1605386994
228,sidvokodvo,-26.63,31.42,67.24,73,0,1.12,SZ,1605386994
229,port hardy,50.7,-127.42,42.8,87,90,21.92,CA,1605386994
230,todos santos,23.45,-110.22,76.51,61,1,5.01,MX,1605386994
231,poum,-20.23,164.02,77.77,81,0,9.51,NC,1605386994
232,palmer,42.16,-72.33,45.16,45,75,14.99,US,1605386977
233,bumba,2.18,22.47,73.17,92,100,0.63,CD,1605386995
234,ituporanga,-27.41,-49.6,74.88,91,35,7.0,BR,1605386995
235,norman wells,65.28,-126.83,-7.6,83,75,2.24,CA,1605386772
236,torbay,47.67,-52.73,32.5,98,90,32.21,CA,1605386995
237,isangel,-19.55,169.27,79.92,72,6,6.38,VU,1605386783
238,santa rosa,14.31,121.11,78.58,88,20,1.12,PH,1605386995
239,seymchan,62.88,152.43,-5.3,90,100,1.81,RU,1605386996
240,tenenkou,14.46,-4.92,77.49,17,0,9.57,ML,1605386996
241,prescott,34.54,-112.47,56.55,22,1,11.41,US,1605386705
242,griffith,41.53,-87.42,42.44,70,90,16.11,US,1605386996
243,port elizabeth,-33.92,25.57,62.6,82,2,11.41,ZA,1605386994
244,chirongui,-12.93,45.15,78.8,78,0,5.82,YT,1605386996
245,michigan city,41.71,-86.89,42.04,62,90,10.29,US,1605386996
246,shenjiamen,29.96,122.3,63.93,79,7,6.35,CN,1605386997
247,barranca,-10.75,-77.77,68.0,69,100,9.8,PE,1605386997
248,dolores,-36.31,-57.68,67.24,88,100,4.92,AR,1605386997
249,nuuk,64.18,-51.72,2.68,83,0,11.9,GL,1605386975
250,prieska,-29.66,22.75,75.97,37,4,7.54,ZA,1605386997
251,maidstone,51.27,0.52,55.8,92,100,7.0,GB,1605386997
252,chokurdakh,70.63,147.92,-23.35,86,2,6.67,RU,1605386997
253,piacabucu,-10.41,-36.43,78.64,80,3,10.29,BR,1605386998
254,sainte-maxime,43.3,6.63,53.38,93,12,8.39,FR,1605386998
255,mvuma,-19.28,30.53,65.05,40,3,7.74,ZW,1605386998
256,sao jose da coroa grande,-8.9,-35.15,78.75,81,11,9.53,BR,1605386998
257,yenagoa,4.92,6.26,76.89,92,48,4.05,NG,1605386998
258,egvekinot,66.32,-179.17,6.51,94,100,2.15,RU,1605386998
259,broken hill,-31.95,141.43,75.2,22,0,17.22,AU,1605386998
260,pemangkat,1.17,108.97,76.41,88,100,4.81,ID,1605386999
261,coahuayana,18.73,-103.68,84.2,54,40,5.82,MX,1605386986
262,creston,41.06,-94.36,55.4,100,75,16.11,US,1605386999
263,carutapera,-1.2,-46.02,81.79,75,94,8.25,BR,1605386999
264,salinopolis,-0.61,-47.36,81.93,75,95,11.59,BR,1605386999
265,cidreira,-30.18,-50.21,72.7,81,0,13.49,BR,1605386999
266,cabedelo,-6.98,-34.83,80.6,83,40,11.41,BR,1605387000
267,benguela,-12.58,13.41,77.79,75,4,5.37,AO,1605387000
268,marawi,8.0,124.29,75.99,88,77,8.01,PH,1605387000
269,manado,1.49,124.85,75.2,88,40,2.91,ID,1605387000
270,grande prairie,55.17,-118.8,28.4,86,40,4.7,CA,1605387000
271,tamandare,-8.76,-35.1,78.75,82,28,9.17,BR,1605387000
272,westport,41.14,-73.36,50.32,52,0,9.6,US,1605386707
273,jacmel,18.23,-72.53,87.8,52,40,14.99,HT,1605386769
274,santa lucia,27.91,-15.54,75.79,78,0,1.12,ES,1605387001
